Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,1.609603785417776,1.609603785417776,1.5915181636810303,1.5915181636810303,407940,0.0,0.0
1962-01-03 00:00:00-05:00,1.5915166847655446,1.6054285764694214,1.5915166847655446,1.6054285764694214,305955,0.0,0.0
1962-01-04 00:00:00-05:00,1.6054286192166307,1.6054286192166307,1.5887343903605167,1.5894299745559692,274575,0.0,0.0
1962-01-05 00:00:00-05:00,1.58734271735024,1.58734271735024,1.5553454402989872,1.5581278800964355,384405,0.0,0.0
1962-01-08 00:00:00-05:00,1.5567369212318212,1.5567369212318212,1.5163926262249445,1.528913140296936,572685,0.0,0.0
1962-01-09 00:00:00-05:00,1.5358696586737026,1.5664758894989044,1.5358696586737026,1.546999216079712,517770,0.0,0.0
1962-01-10 00:00:00-05:00,1.5497819185256958,1.5567377634399724,1.5497819185256958,1.5497819185256958,313800,0.0,0.0
1962-01-11 00:00:00-05:00,1.5539548017384928,1.5664756298065186,1.5539548017384928,1.5664756298065186,337335,0.0,0.0
1962-01-12 00:00:00-05:00,1.5692583322525024,1.5803876822410345,1.5692583322525024,1.5692583322525024,462855,0.0,0.0
1962-01-15 00:00:00-05:00,1.574822206826011,1.5796915034582473,1.574822206826011,1.5762134790420532,266730,0.0,0.0
1962-01-16 00:00:00-05:00,1.5748228467391088,1.5748228467391088,1.55951988697052,1.55951988697052,266730,0.0,0.0
1962-01-17 00:00:00-05:00,1.5525639146840153,1.5525639146840153,1.5303049051030138,1.5344783067703247,439320,0.0,0.0
1962-01-18 00:00:00-05:00,1.5386513471603394,1.5539542989607975,1.5386513471603394,1.5386513471603394,392250,0.0,0.0
1962-01-19 00:00:00-05:00,1.5386522892909071,1.5428256916867764,1.5219579511288137,1.5400433540344238,423630,0.0,0.0
1962-01-22 00:00:00-05:00,1.5400423914552896,1.5553455512262089,1.5358688875853435,1.5372600555419922,290265,0.0,0.0
1962-01-23 00:00:00-05:00,1.5365643753024871,1.5386511269653809,1.519174465863965,1.5219568014144897,392250,0.0,0.0
1962-01-24 00:00:00-05:00,1.5219569777130537,1.530304193496704,1.5143055540627945,1.530304193496704,431475,0.0,0.0
1962-01-25 00:00:00-05:00,1.5303051780693142,1.5428256975525025,1.5108285021808192,1.51361083984375,337335,0.0,0.0
1962-01-26 00:00:00-05:00,1.513610340807163,1.51917511838098,1.5052632264877503,1.505958914756775,258885,0.0,0.0
1962-01-29 00:00:00-05:00,1.5059591410749893,1.516393009521619,1.4802221059799194,1.4802221059799194,611910,0.0,0.0
